"GEO_ID","NAME","B19013_001E","B19013_001M"
"id","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)"
"1400000US24003706302","Census Tract 7063.02, Anne Arundel County, Maryland","91875","28824"
"1400000US24003706401","Census Tract 7064.01, Anne Arundel County, Maryland","69945","17811"
"1400000US24003706402","Census Tract 7064.02, Anne Arundel County, Maryland","71979","10416"
"1400000US24003706500","Census Tract 7065, Anne Arundel County, Maryland","88854","18765"
"1400000US24003706600","Census Tract 7066, Anne Arundel County, Maryland","106064","11586"
"1400000US24003706700","Census Tract 7067, Anne Arundel County, Maryland","96944","6121"
"1400000US24003707001","Census Tract 7070.01, Anne Arundel County, Maryland","92298","13218"
"1400000US24003707002","Census Tract 7070.02, Anne Arundel County, Maryland","95852","6400"
"1400000US24003708001","Census Tract 7080.01, Anne Arundel County, Maryland","106875","15879"
"1400000US24003708004","Census Tract 7080.04, Anne Arundel County, Maryland","66769","10957"
"1400000US24003730100","Census Tract 7301, Anne Arundel County, Maryland","102700","5791"
"1400000US24003730203","Census Tract 7302.03, Anne Arundel County, Maryland","46779","9577"
"1400000US24003730204","Census Tract 7302.04, Anne Arundel County, Maryland","65163","7043"
"1400000US24003730300","Census Tract 7303, Anne Arundel County, Maryland","86568","10064"
"1400000US24003730401","Census Tract 7304.01, Anne Arundel County, Maryland","74868","6347"
"1400000US24003730402","Census Tract 7304.02, Anne Arundel County, Maryland","58911","13666"
"1400000US24003730502","Census Tract 7305.02, Anne Arundel County, Maryland","82404","24563"
"1400000US24003730504","Census Tract 7305.04, Anne Arundel County, Maryland","89274","7951"
"1400000US24003730505","Census Tract 7305.05, Anne Arundel County, Maryland","50784","6696"
"1400000US24003730506","Census Tract 7305.06, Anne Arundel County, Maryland","44831","8080"
"1400000US24003730601","Census Tract 7306.01, Anne Arundel County, Maryland","174271","24282"
"1400000US24003730603","Census Tract 7306.03, Anne Arundel County, Maryland","121016","22581"
"1400000US24003730604","Census Tract 7306.04, Anne Arundel County, Maryland","146295","12343"
"1400000US24003730700","Census Tract 7307, Anne Arundel County, Maryland","118433","10475"
"1400000US24003730800","Census Tract 7308, Anne Arundel County, Maryland","171106","17832"
"1400000US24003730901","Census Tract 7309.01, Anne Arundel County, Maryland","140048","13909"
"1400000US24003730902","Census Tract 7309.02, Anne Arundel County, Maryland","166591","16738"
"1400000US24003731002","Census Tract 7310.02, Anne Arundel County, Maryland","105161","12189"
"1400000US24003731003","Census Tract 7310.03, Anne Arundel County, Maryland","91750","10679"
"1400000US24003731004","Census Tract 7310.04, Anne Arundel County, Maryland","104559","15371"
"1400000US24003731102","Census Tract 7311.02, Anne Arundel County, Maryland","121250","14653"
"1400000US24003731103","Census Tract 7311.03, Anne Arundel County, Maryland","114730","11558"
"1400000US24003731104","Census Tract 7311.04, Anne Arundel County, Maryland","105982","16418"
"1400000US24003731105","Census Tract 7311.05, Anne Arundel County, Maryland","97250","18094"
"1400000US24003731201","Census Tract 7312.01, Anne Arundel County, Maryland","130370","17789"
"1400000US24003731202","Census Tract 7312.02, Anne Arundel County, Maryland","101842","5381"
"1400000US24003731203","Census Tract 7312.03, Anne Arundel County, Maryland","125035","19843"
"1400000US24003731204","Census Tract 7312.04, Anne Arundel County, Maryland","82589","29665"
"1400000US24003731303","Census Tract 7313.03, Anne Arundel County, Maryland","101771","16515"
"1400000US24003731306","Census Tract 7313.06, Anne Arundel County, Maryland","88000","19086"
"1400000US24003731307","Census Tract 7313.07, Anne Arundel County, Maryland","90028","13909"
"1400000US24003731308","Census Tract 7313.08, Anne Arundel County, Maryland","89375","10670"
"1400000US24003731309","Census Tract 7313.09, Anne Arundel County, Maryland","78245","11073"
"1400000US24003731310","Census Tract 7313.10, Anne Arundel County, Maryland","96792","12752"
"1400000US24003731311","Census Tract 7313.11, Anne Arundel County, Maryland","105769","10859"
"1400000US24003740102","Census Tract 7401.02, Anne Arundel County, Maryland","105059","3323"
"1400000US24003740103","Census Tract 7401.03, Anne Arundel County, Maryland","113544","12694"
"1400000US24003740104","Census Tract 7401.04, Anne Arundel County, Maryland","97688","16174"
"1400000US24003740105","Census Tract 7401.05, Anne Arundel County, Maryland","62685","12864"
"1400000US24003740201","Census Tract 7402.01, Anne Arundel County, Maryland","80227","9192"
"1400000US24003740203","Census Tract 7402.03, Anne Arundel County, Maryland","128184","14308"
"1400000US24003740303","Census Tract 7403.03, Anne Arundel County, Maryland","98958","9709"
"1400000US24003740304","Census Tract 7403.04, Anne Arundel County, Maryland","95258","4879"
"1400000US24003740305","Census Tract 7403.05, Anne Arundel County, Maryland","92478","7746"
"1400000US24003740400","Census Tract 7404, Anne Arundel County, Maryland","-","**"
"1400000US24003740500","Census Tract 7405, Anne Arundel County, Maryland","110486","14581"
"1400000US24003740601","Census Tract 7406.01, Anne Arundel County, Maryland","76343","6577"
"1400000US24003740602","Census Tract 7406.02, Anne Arundel County, Maryland","64981","6148"
"1400000US24003740603","Census Tract 7406.03, Anne Arundel County, Maryland","67863","15378"
"1400000US24003740701","Census Tract 7407.01, Anne Arundel County, Maryland","92879","9967"
"1400000US24003740702","Census Tract 7407.02, Anne Arundel County, Maryland","108031","8067"
"1400000US24003740800","Census Tract 7408, Anne Arundel County, Maryland","104020","13780"
"1400000US24003740900","Census Tract 7409, Anne Arundel County, Maryland","90377","11787"
"1400000US24003741000","Census Tract 7410, Anne Arundel County, Maryland","142361","18911"
"1400000US24003750101","Census Tract 7501.01, Anne Arundel County, Maryland","55492","10111"
"1400000US24003750102","Census Tract 7501.02, Anne Arundel County, Maryland","54097","4792"
"1400000US24003750201","Census Tract 7502.01, Anne Arundel County, Maryland","46806","13083"
"1400000US24003750202","Census Tract 7502.02, Anne Arundel County, Maryland","75135","7864"
"1400000US24003750203","Census Tract 7502.03, Anne Arundel County, Maryland","67692","13644"
"1400000US24003750300","Census Tract 7503, Anne Arundel County, Maryland","80000","18596"
"1400000US24003750400","Census Tract 7504, Anne Arundel County, Maryland","93558","15633"
"1400000US24003750801","Census Tract 7508.01, Anne Arundel County, Maryland","94904","9516"
"1400000US24003750803","Census Tract 7508.03, Anne Arundel County, Maryland","57886","9824"
"1400000US24003750804","Census Tract 7508.04, Anne Arundel County, Maryland","63922","8011"
"1400000US24003750900","Census Tract 7509, Anne Arundel County, Maryland","62768","11949"
"1400000US24003751000","Census Tract 7510, Anne Arundel County, Maryland","68059","7405"
"1400000US24003751102","Census Tract 7511.02, Anne Arundel County, Maryland","59896","9493"
"1400000US24003751103","Census Tract 7511.03, Anne Arundel County, Maryland","60477","6475"
"1400000US24003751200","Census Tract 7512, Anne Arundel County, Maryland","97284","12181"
"1400000US24003751400","Census Tract 7514, Anne Arundel County, Maryland","103682","12752"
"1400000US24003751500","Census Tract 7515, Anne Arundel County, Maryland","71451","10587"
"1400000US24003751600","Census Tract 7516, Anne Arundel County, Maryland","81295","13920"
"1400000US24003751700","Census Tract 7517, Anne Arundel County, Maryland","172604","44731"
"1400000US24003980000","Census Tract 9800, Anne Arundel County, Maryland","-","**"
"1400000US24003990000","Census Tract 9900, Anne Arundel County, Maryland","-","**"
"1400000US24005400100","Census Tract 4001, Baltimore County, Maryland","49833","8507"
"1400000US24005400200","Census Tract 4002, Baltimore County, Maryland","76389","11873"
"1400000US24005400400","Census Tract 4004, Baltimore County, Maryland","114386","11943"
"1400000US24005400500","Census Tract 4005, Baltimore County, Maryland","157708","26686"
"1400000US24005400600","Census Tract 4006, Baltimore County, Maryland","85583","13604"
"1400000US24005400701","Census Tract 4007.01, Baltimore County, Maryland","69661","12389"
"1400000US24005400702","Census Tract 4007.02, Baltimore County, Maryland","90938","18607"
"1400000US24005400800","Census Tract 4008, Baltimore County, Maryland","88864","19316"
"1400000US24005400900","Census Tract 4009, Baltimore County, Maryland","65481","12955"
"1400000US24005401000","Census Tract 4010, Baltimore County, Maryland","98636","25468"
"1400000US24005401101","Census Tract 4011.01, Baltimore County, Maryland","65522","4196"
"1400000US24005401102","Census Tract 4011.02, Baltimore County, Maryland","53469","2854"
"1400000US24005401200","Census Tract 4012, Baltimore County, Maryland","70156","10767"
"1400000US24005401301","Census Tract 4013.01, Baltimore County, Maryland","62963","9518"
"1400000US24005401302","Census Tract 4013.02, Baltimore County, Maryland","46731","11830"
"1400000US24005401400","Census Tract 4014, Baltimore County, Maryland","114875","24149"
"1400000US24005401503","Census Tract 4015.03, Baltimore County, Maryland","96039","7787"
"1400000US24005401504","Census Tract 4015.04, Baltimore County, Maryland","88697","10665"
"1400000US24005401505","Census Tract 4015.05, Baltimore County, Maryland","73375","17249"
"1400000US24005401506","Census Tract 4015.06, Baltimore County, Maryland","75604","10041"
"1400000US24005401507","Census Tract 4015.07, Baltimore County, Maryland","54545","6902"
"1400000US24005402201","Census Tract 4022.01, Baltimore County, Maryland","84135","23254"
"1400000US24005402202","Census Tract 4022.02, Baltimore County, Maryland","128281","9866"
"1400000US24005402302","Census Tract 4023.02, Baltimore County, Maryland","85714","10641"
"1400000US24005402303","Census Tract 4023.03, Baltimore County, Maryland","69772","14509"
"1400000US24005402304","Census Tract 4023.04, Baltimore County, Maryland","70202","11700"
"1400000US24005402305","Census Tract 4023.05, Baltimore County, Maryland","57888","9019"
"1400000US24005402306","Census Tract 4023.06, Baltimore County, Maryland","48431","7642"
"1400000US24005402307","Census Tract 4023.07, Baltimore County, Maryland","63743","3630"
"1400000US24005402403","Census Tract 4024.03, Baltimore County, Maryland","65461","9672"
"1400000US24005402404","Census Tract 4024.04, Baltimore County, Maryland","51552","4979"
"1400000US24005402405","Census Tract 4024.05, Baltimore County, Maryland","60335","11311"
"1400000US24005402406","Census Tract 4024.06, Baltimore County, Maryland","65434","9572"
"1400000US24005402407","Census Tract 4024.07, Baltimore County, Maryland","51964","32139"
"1400000US24005402503","Census Tract 4025.03, Baltimore County, Maryland","47679","7211"
"1400000US24005402504","Census Tract 4025.04, Baltimore County, Maryland","97351","10489"
"1400000US24005402505","Census Tract 4025.05, Baltimore County, Maryland","62574","17799"
"1400000US24005402506","Census Tract 4025.06, Baltimore County, Maryland","83107","12328"
"1400000US24005402509","Census Tract 4025.09, Baltimore County, Maryland","87650","7915"
"1400000US24005402602","Census Tract 4026.02, Baltimore County, Maryland","72750","17629"
"1400000US24005402603","Census Tract 4026.03, Baltimore County, Maryland","107398","19754"
"1400000US24005402604","Census Tract 4026.04, Baltimore County, Maryland","82167","9672"
"1400000US24005403100","Census Tract 4031, Baltimore County, Maryland","69301","8376"
"1400000US24005403201","Census Tract 4032.01, Baltimore County, Maryland","72426","11306"
"1400000US24005403202","Census Tract 4032.02, Baltimore County, Maryland","67697","11619"
"1400000US24005403300","Census Tract 4033, Baltimore County, Maryland","74013","14554"
"1400000US24005403401","Census Tract 4034.01, Baltimore County, Maryland","65403","10008"
"1400000US24005403402","Census Tract 4034.02, Baltimore County, Maryland","48445","5237"
"1400000US24005403500","Census Tract 4035, Baltimore County, Maryland","97375","17924"
"1400000US24005403601","Census Tract 4036.01, Baltimore County, Maryland","83622","8681"
"1400000US24005403602","Census Tract 4036.02, Baltimore County, Maryland","89477","7294"
"1400000US24005403701","Census Tract 4037.01, Baltimore County, Maryland","77417","5824"
"1400000US24005403702","Census Tract 4037.02, Baltimore County, Maryland","77446","18035"
"1400000US24005403801","Census Tract 4038.01, Baltimore County, Maryland","198158","53533"
"1400000US24005403802","Census Tract 4038.02, Baltimore County, Maryland","158908","11866"
"1400000US24005403803","Census Tract 4038.03, Baltimore County, Maryland","103846","18220"
"1400000US24005404101","Census Tract 4041.01, Baltimore County, Maryland","90271","7546"
"1400000US24005404102","Census Tract 4041.02, Baltimore County, Maryland","65676","14335"
"1400000US24005404201","Census Tract 4042.01, Baltimore County, Maryland","76985","9018"
"1400000US24005404202","Census Tract 4042.02, Baltimore County, Maryland","54093","8741"
"1400000US24005404402","Census Tract 4044.02, Baltimore County, Maryland","114583","19346"
"1400000US24005404403","Census Tract 4044.03, Baltimore County, Maryland","48194","4204"
"1400000US24005404404","Census Tract 4044.04, Baltimore County, Maryland","81613","14393"
"1400000US24005404501","Census Tract 4045.01, Baltimore County, Maryland","72741","7823"
"1400000US24005404502","Census Tract 4045.02, Baltimore County, Maryland","51452","10451"
"1400000US24005404600","Census Tract 4046, Baltimore County, Maryland","101197","26110"
"1400000US24005404800","Census Tract 4048, Baltimore County, Maryland","120938","21674"
"1400000US24005404900","Census Tract 4049, Baltimore County, Maryland","134777","18516"
"1400000US24005405000","Census Tract 4050, Baltimore County, Maryland","101964","16156"
"1400000US24005406000","Census Tract 4060, Baltimore County, Maryland","105972","11244"
"1400000US24005407001","Census Tract 4070.01, Baltimore County, Maryland","97153","16581"
"1400000US24005407002","Census Tract 4070.02, Baltimore County, Maryland","102009","9338"
"1400000US24005408100","Census Tract 4081, Baltimore County, Maryland","108448","13648"
"1400000US24005408200","Census Tract 4082, Baltimore County, Maryland","150750","23500"
"1400000US24005408302","Census Tract 4083.02, Baltimore County, Maryland","126667","21397"
"1400000US24005408303","Census Tract 4083.03, Baltimore County, Maryland","167069","29281"
"1400000US24005408304","Census Tract 4083.04, Baltimore County, Maryland","89417","25186"
"1400000US24005408400","Census Tract 4084, Baltimore County, Maryland","63971","13173"
"1400000US24005408502","Census Tract 4085.02, Baltimore County, Maryland","91335","21491"
"1400000US24005408503","Census Tract 4085.03, Baltimore County, Maryland","59853","9521"
"1400000US24005408505","Census Tract 4085.05, Baltimore County, Maryland","84269","7603"
"1400000US24005408506","Census Tract 4085.06, Baltimore County, Maryland","46997","10078"
"1400000US24005408507","Census Tract 4085.07, Baltimore County, Maryland","58682","6755"
"1400000US24005408601","Census Tract 4086.01, Baltimore County, Maryland","102902","7764"
