"GEO_ID","NAME","B19013_001E","B19013_001M"
"id","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2012 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2012 inflation-adjusted dollars)"
"1400000US24003740400","Census Tract 7404, Anne Arundel County, Maryland","-","**"
"1400000US24003980000","Census Tract 9800, Anne Arundel County, Maryland","-","**"
"1400000US24003990000","Census Tract 9900, Anne Arundel County, Maryland","-","**"
"1400000US24005980000","Census Tract 9800, Baltimore County, Maryland","-","**"
"1400000US24005980100","Census Tract 9801, Baltimore County, Maryland","-","**"
"1400000US24005980200","Census Tract 9802, Baltimore County, Maryland","-","**"
"1400000US24009990100","Census Tract 9901, Calvert County, Maryland","-","**"
"1400000US24017990000","Census Tract 9900, Charles County, Maryland","-","**"
"1400000US24019990000","Census Tract 9900, Dorchester County, Maryland","-","**"
"1400000US24029990000","Census Tract 9900, Kent County, Maryland","-","**"
"1400000US24031705300","Census Tract 7053, Montgomery County, Maryland","250,000+","***"
"1400000US24031705400","Census Tract 7054, Montgomery County, Maryland","250,000+","***"
"1400000US24031706008","Census Tract 7060.08, Montgomery County, Maryland","250,000+","***"
"1400000US24035990000","Census Tract 9900, Queen Anne's County, Maryland","-","**"
"1400000US24035990100","Census Tract 9901, Queen Anne's County, Maryland","-","**"
"1400000US24035990200","Census Tract 9902, Queen Anne's County, Maryland","-","**"
"1400000US24037990000","Census Tract 9900, St. Mary's County, Maryland","-","**"
"1400000US24039990100","Census Tract 9901, Somerset County, Maryland","-","**"
"1400000US24041990000","Census Tract 9900, Talbot County, Maryland","-","**"
"1400000US24043011000","Census Tract 110, Washington County, Maryland","-","**"
"1400000US24047980000","Census Tract 9800, Worcester County, Maryland","-","**"
"1400000US24047990000","Census Tract 9900, Worcester County, Maryland","-","**"
"1400000US24510100300","Census Tract 1003, Baltimore city, Maryland","-","**"
"1400000US24510250600","Census Tract 2506, Baltimore city, Maryland","-","**"
"1400000US24037875801","Census Tract 8758.01, St. Mary's County, Maryland","55833","20866"
"1400000US24013507801","Census Tract 5078.01, Carroll County, Maryland","47287","14534"
"1400000US24005402305","Census Tract 4023.05, Baltimore County, Maryland","43342","4464"
"1400000US24033801312","Census Tract 8013.12, Prince George's County, Maryland","81518","16480"
"1400000US24033802805","Census Tract 8028.05, Prince George's County, Maryland","59500","9403"
"1400000US24025302400","Census Tract 3024, Harford County, Maryland","62792","15845"
"1400000US24033801409","Census Tract 8014.09, Prince George's County, Maryland","55495","4109"
"1400000US24037875400","Census Tract 8754, St. Mary's County, Maryland","86250","12846"
"1400000US24005408100","Census Tract 4081, Baltimore County, Maryland","97772","17009"
"1400000US24017850904","Census Tract 8509.04, Charles County, Maryland","106165","7678"
"1400000US24033802404","Census Tract 8024.04, Prince George's County, Maryland","50094","8477"
"1400000US24033807408","Census Tract 8074.08, Prince George's County, Maryland","83977","14463"
"1400000US24005408900","Census Tract 4089, Baltimore County, Maryland","85221","17670"
"1400000US24019970600","Census Tract 9706, Dorchester County, Maryland","42469","6357"
"1400000US24017850901","Census Tract 8509.01, Charles County, Maryland","44111","10147"
"1400000US24031704804","Census Tract 7048.04, Montgomery County, Maryland","113382","16992"
"1400000US24005451500","Census Tract 4515, Baltimore County, Maryland","59408","9617"
"1400000US24033800511","Census Tract 8005.11, Prince George's County, Maryland","99203","6434"
"1400000US24021751903","Census Tract 7519.03, Frederick County, Maryland","124286","5830"
"1400000US24003730504","Census Tract 7305.04, Anne Arundel County, Maryland","77992","11093"
"1400000US24025301602","Census Tract 3016.02, Harford County, Maryland","64797","11885"
"1400000US24027601105","Census Tract 6011.05, Howard County, Maryland","93633","19888"
"1400000US24033803512","Census Tract 8035.12, Prince George's County, Maryland","85567","5435"
"1400000US24001001200","Census Tract 12, Allegany County, Maryland","63885","9043"
"1400000US24005420200","Census Tract 4202, Baltimore County, Maryland","42526","3433"
"1400000US24021751702","Census Tract 7517.02, Frederick County, Maryland","111125","25754"
"1400000US24033800515","Census Tract 8005.15, Prince George's County, Maryland","91364","12278"
"1400000US24031700312","Census Tract 7003.12, Montgomery County, Maryland","132473","20799"
"1400000US24003750300","Census Tract 7503, Anne Arundel County, Maryland","66097","3753"
"1400000US24015030200","Census Tract 302, Cecil County, Maryland","85352","5867"
"1400000US24510270804","Census Tract 2708.04, Baltimore city, Maryland","43684","15961"
"1400000US24510271102","Census Tract 2711.02, Baltimore city, Maryland","160259","43252"
"1400000US24013510000","Census Tract 5100, Carroll County, Maryland","54223","9077"
"1400000US24510180100","Census Tract 1801, Baltimore city, Maryland","15625","3725"
"1400000US24003730402","Census Tract 7304.02, Anne Arundel County, Maryland","53443","11359"
"1400000US24003731309","Census Tract 7313.09, Anne Arundel County, Maryland","85556","11958"
"1400000US24005450504","Census Tract 4505.04, Baltimore County, Maryland","42839","5585"
"1400000US24033801313","Census Tract 8013.13, Prince George's County, Maryland","115833","35504"
"1400000US24510270102","Census Tract 2701.02, Baltimore city, Maryland","50563","12495"
"1400000US24025303205","Census Tract 3032.05, Harford County, Maryland","115458","18984"
"1400000US24510130700","Census Tract 1307, Baltimore city, Maryland","53796","8323"
"1400000US24043011202","Census Tract 112.02, Washington County, Maryland","61277","8591"
"1400000US24005402509","Census Tract 4025.09, Baltimore County, Maryland","85380","10366"
"1400000US24031701304","Census Tract 7013.04, Montgomery County, Maryland","123359","10385"
"1400000US24031701703","Census Tract 7017.03, Montgomery County, Maryland","82986","14739"
"1400000US24003730700","Census Tract 7307, Anne Arundel County, Maryland","114007","11687"
"1400000US24005403602","Census Tract 4036.02, Baltimore County, Maryland","81183","6894"
"1400000US24005441000","Census Tract 4410, Baltimore County, Maryland","52802","5028"
"1400000US24510130600","Census Tract 1306, Baltimore city, Maryland","58030","10158"
"1400000US24003731310","Census Tract 7313.10, Anne Arundel County, Maryland","98021","10156"
"1400000US24003731311","Census Tract 7313.11, Anne Arundel County, Maryland","95459","13121"
"1400000US24005404800","Census Tract 4048, Baltimore County, Maryland","108750","33980"
"1400000US24033800413","Census Tract 8004.13, Prince George's County, Maryland","83277","9842"
"1400000US24031700723","Census Tract 7007.23, Montgomery County, Maryland","53829","11138"
"1400000US24005492001","Census Tract 4920.01, Baltimore County, Maryland","55577","12864"
"1400000US24035810200","Census Tract 8102, Queen Anne's County, Maryland","69519","7692"
"1400000US24031703213","Census Tract 7032.13, Montgomery County, Maryland","49587","6128"
"1400000US24021773500","Census Tract 7735, Frederick County, Maryland","85101","16686"
"1400000US24031700832","Census Tract 7008.32, Montgomery County, Maryland","62071","5614"
"1400000US24005420500","Census Tract 4205, Baltimore County, Maryland","54235","14889"
"1400000US24005420900","Census Tract 4209, Baltimore County, Maryland","45199","7118"
"1400000US24009860501","Census Tract 8605.01, Calvert County, Maryland","129625","7030"
"1400000US24027606905","Census Tract 6069.05, Howard County, Maryland","102821","18993"
"1400000US24005408505","Census Tract 4085.05, Baltimore County, Maryland","89938","6947"
"1400000US24031703701","Census Tract 7037.01, Montgomery County, Maryland","66064","8249"
"1400000US24045010702","Census Tract 107.02, Wicomico County, Maryland","52209","5028"
"1400000US24031701701","Census Tract 7017.01, Montgomery County, Maryland","71958","16111"
"1400000US24033801211","Census Tract 8012.11, Prince George's County, Maryland","96544","28811"
"1400000US24003706402","Census Tract 7064.02, Anne Arundel County, Maryland","54583","18116"
"1400000US24031700905","Census Tract 7009.05, Montgomery County, Maryland","83008","10948"
"1400000US24005400702","Census Tract 4007.02, Baltimore County, Maryland","81250","5795"
"1400000US24005452300","Census Tract 4523, Baltimore County, Maryland","51172","15794"
"1400000US24001002000","Census Tract 20, Allegany County, Maryland","52014","14658"
