GEO_ID,NAME,total,total.under25K,total.under25K.insured,total.under25K.insured.private,total.under25K.insured.public,total.under25K.uninsured,total.25Kto50K,total.25Kto50K.insured,total.25Kto50K.insured.private,total.25Kto50K.insured.public,total.25Kto50K.uninsured,total.50Kto75K,total.50Kto75K.insured,total.50Kto75K.insured.private,total.50Kto75K.insured.public,total.50Kto75K.uninsured,total.75Kto100K,total.75Kto100K.insured,total.75Kto100K.insured.private,total.75Kto100K.insured.public,total.75Kto100K.uninsured,total.100Kplus,total.100Kplus.insured,total.100Kplus.insured.private,total.100Kplus.insured.public,total.100Kplus.uninsured
1400000US24033800209,"Census Tract 8002.09, Prince George's County, Maryland",4134,711,418,156,321,293,852,608,427,189,244,1036,802,563,278,234,389,370,326,74,19,1146,991,654,354,155
1400000US24033800210,"Census Tract 8002.10, Prince George's County, Maryland",2629,155,111,47,75,44,659,627,395,300,32,553,452,433,19,101,432,364,230,164,68,830,793,774,85,37
1400000US24033800211,"Census Tract 8002.11, Prince George's County, Maryland",3204,223,223,100,211,0,1057,802,602,332,255,443,427,329,106,16,395,367,343,56,28,1086,1048,912,243,38
1400000US24033800212,"Census Tract 8002.12, Prince George's County, Maryland",4415,212,212,187,131,0,577,569,511,182,8,623,503,413,230,120,343,343,343,78,0,2660,2554,2441,340,106
1400000US24033800213,"Census Tract 8002.13, Prince George's County, Maryland",4875,105,105,105,15,0,591,531,213,378,60,986,783,641,207,203,650,650,559,141,0,2543,2261,1682,751,282
1400000US24033800214,"Census Tract 8002.14, Prince George's County, Maryland",2440,136,119,67,96,17,372,329,166,186,43,911,697,646,75,214,381,381,370,42,0,640,586,529,86,54
1400000US24033800215,"Census Tract 8002.15, Prince George's County, Maryland",2583,144,115,89,26,29,243,210,119,101,33,611,611,603,39,0,351,351,330,60,0,1234,1216,1011,247,18
1400000US24033800401,"Census Tract 8004.01, Prince George's County, Maryland",2353,62,50,35,22,12,237,160,89,120,77,227,218,158,150,9,325,325,290,93,0,1502,1435,1409,221,67
1400000US24033800402,"Census Tract 8004.02, Prince George's County, Maryland",4643,151,124,89,78,27,336,308,266,202,28,621,549,408,256,72,635,620,540,225,15,2900,2841,2698,545,59
1400000US24033800403,"Census Tract 8004.03, Prince George's County, Maryland",3786,254,233,98,190,21,151,145,120,90,6,733,656,489,362,77,355,340,285,112,15,2293,2248,2161,461,45
1400000US24033800408,"Census Tract 8004.08, Prince George's County, Maryland",7132,230,190,41,161,40,174,140,140,12,34,1199,899,542,465,300,618,534,433,290,84,4911,4734,4518,693,177
1400000US24033800409,"Census Tract 8004.09, Prince George's County, Maryland",6098,392,208,173,111,184,448,418,362,192,30,568,538,538,87,30,485,424,327,170,61,4205,4180,4043,728,25
1400000US24033800410,"Census Tract 8004.10, Prince George's County, Maryland",5716,85,85,19,74,0,304,288,175,175,16,313,313,253,86,0,1004,830,704,211,174,4010,3925,3677,441,85
1400000US24033800411,"Census Tract 8004.11, Prince George's County, Maryland",3849,64,58,58,7,6,346,346,219,182,0,432,423,235,276,9,609,453,305,238,156,2398,2347,2186,368,51
1400000US24033800412,"Census Tract 8004.12, Prince George's County, Maryland",3605,205,178,66,121,27,482,379,305,166,103,939,907,704,315,32,567,539,459,125,28,1412,1292,1142,426,120
1400000US24033800413,"Census Tract 8004.13, Prince George's County, Maryland",4157,310,237,0,237,73,903,706,409,364,197,724,572,352,249,152,698,652,465,234,46,1522,1309,1105,282,213
1400000US24033800504,"Census Tract 8005.04, Prince George's County, Maryland",4791,178,164,126,133,14,357,333,256,267,24,776,677,614,127,99,459,459,373,194,0,3021,2788,2613,630,233
1400000US24033800505,"Census Tract 8005.05, Prince George's County, Maryland",2424,52,39,18,39,13,124,124,110,65,0,230,192,157,80,38,461,452,405,128,9,1557,1503,1445,329,54
1400000US24033800507,"Census Tract 8005.07, Prince George's County, Maryland",3220,48,38,38,25,10,155,155,155,17,0,434,401,339,115,33,525,507,507,58,18,2058,1974,1858,234,84
1400000US24033800509,"Census Tract 8005.09, Prince George's County, Maryland",10279,415,406,257,261,9,868,868,649,616,0,1078,1078,971,666,0,1243,1213,1125,403,30,6675,6572,6211,1258,103
1400000US24033800511,"Census Tract 8005.11, Prince George's County, Maryland",5129,173,149,38,126,24,636,636,462,237,0,901,842,689,312,59,668,586,499,251,82,2751,2694,2528,483,57
1400000US24033800513,"Census Tract 8005.13, Prince George's County, Maryland",5506,133,103,94,73,30,353,353,280,226,0,380,325,239,191,55,672,661,653,85,11,3968,3814,3714,429,154
1400000US24033800514,"Census Tract 8005.14, Prince George's County, Maryland",5932,107,97,84,13,10,43,43,43,8,0,375,315,315,18,60,220,220,214,37,0,5187,5070,4868,714,117
