GEO_ID,NAME,MHHI
1400000US24003740400,"Census Tract 7404, Anne Arundel County, Maryland",
1400000US24003980000,"Census Tract 9800, Anne Arundel County, Maryland",
1400000US24003990000,"Census Tract 9900, Anne Arundel County, Maryland",
1400000US24005980000,"Census Tract 9800, Baltimore County, Maryland",
1400000US24005980100,"Census Tract 9801, Baltimore County, Maryland",
1400000US24005980200,"Census Tract 9802, Baltimore County, Maryland",
1400000US24009990100,"Census Tract 9901, Calvert County, Maryland",
1400000US24017990000,"Census Tract 9900, Charles County, Maryland",
1400000US24019990000,"Census Tract 9900, Dorchester County, Maryland",
1400000US24029990000,"Census Tract 9900, Kent County, Maryland",
1400000US24031705300,"Census Tract 7053, Montgomery County, Maryland",
1400000US24031705400,"Census Tract 7054, Montgomery County, Maryland",
1400000US24031706008,"Census Tract 7060.08, Montgomery County, Maryland",
1400000US24035990000,"Census Tract 9900, Queen Anne's County, Maryland",
1400000US24035990100,"Census Tract 9901, Queen Anne's County, Maryland",
1400000US24035990200,"Census Tract 9902, Queen Anne's County, Maryland",
1400000US24037990000,"Census Tract 9900, St. Mary's County, Maryland",
1400000US24039990100,"Census Tract 9901, Somerset County, Maryland",
1400000US24041990000,"Census Tract 9900, Talbot County, Maryland",
1400000US24043011000,"Census Tract 110, Washington County, Maryland",
1400000US24047980000,"Census Tract 9800, Worcester County, Maryland",
1400000US24047990000,"Census Tract 9900, Worcester County, Maryland",
1400000US24510100300,"Census Tract 1003, Baltimore city, Maryland",
1400000US24510250600,"Census Tract 2506, Baltimore city, Maryland",
1400000US24037875801,"Census Tract 8758.01, St. Mary's County, Maryland",55833
1400000US24013507801,"Census Tract 5078.01, Carroll County, Maryland",47287
1400000US24005402305,"Census Tract 4023.05, Baltimore County, Maryland",43342
1400000US24033801312,"Census Tract 8013.12, Prince George's County, Maryland",81518
1400000US24033802805,"Census Tract 8028.05, Prince George's County, Maryland",59500
1400000US24025302400,"Census Tract 3024, Harford County, Maryland",62792
1400000US24033801409,"Census Tract 8014.09, Prince George's County, Maryland",55495
1400000US24037875400,"Census Tract 8754, St. Mary's County, Maryland",86250
1400000US24005408100,"Census Tract 4081, Baltimore County, Maryland",97772
1400000US24017850904,"Census Tract 8509.04, Charles County, Maryland",106165
1400000US24033802404,"Census Tract 8024.04, Prince George's County, Maryland",50094
1400000US24033807408,"Census Tract 8074.08, Prince George's County, Maryland",83977
1400000US24005408900,"Census Tract 4089, Baltimore County, Maryland",85221
1400000US24019970600,"Census Tract 9706, Dorchester County, Maryland",42469
1400000US24017850901,"Census Tract 8509.01, Charles County, Maryland",44111
1400000US24031704804,"Census Tract 7048.04, Montgomery County, Maryland",113382
1400000US24005451500,"Census Tract 4515, Baltimore County, Maryland",59408
1400000US24033800511,"Census Tract 8005.11, Prince George's County, Maryland",99203
1400000US24021751903,"Census Tract 7519.03, Frederick County, Maryland",124286
1400000US24003730504,"Census Tract 7305.04, Anne Arundel County, Maryland",77992
1400000US24025301602,"Census Tract 3016.02, Harford County, Maryland",64797
1400000US24027601105,"Census Tract 6011.05, Howard County, Maryland",93633
1400000US24033803512,"Census Tract 8035.12, Prince George's County, Maryland",85567
1400000US24001001200,"Census Tract 12, Allegany County, Maryland",63885
1400000US24005420200,"Census Tract 4202, Baltimore County, Maryland",42526
1400000US24021751702,"Census Tract 7517.02, Frederick County, Maryland",111125
1400000US24033800515,"Census Tract 8005.15, Prince George's County, Maryland",91364
1400000US24031700312,"Census Tract 7003.12, Montgomery County, Maryland",132473
1400000US24003750300,"Census Tract 7503, Anne Arundel County, Maryland",66097
1400000US24015030200,"Census Tract 302, Cecil County, Maryland",85352
1400000US24510270804,"Census Tract 2708.04, Baltimore city, Maryland",43684
1400000US24510271102,"Census Tract 2711.02, Baltimore city, Maryland",160259
1400000US24013510000,"Census Tract 5100, Carroll County, Maryland",54223
1400000US24510180100,"Census Tract 1801, Baltimore city, Maryland",15625
1400000US24003730402,"Census Tract 7304.02, Anne Arundel County, Maryland",53443
1400000US24003731309,"Census Tract 7313.09, Anne Arundel County, Maryland",85556
1400000US24005450504,"Census Tract 4505.04, Baltimore County, Maryland",42839
