GEOID,insured,uninsured,total
1400000US24005404202,7634,1606,9240
1400000US24005404402,6015,318,6333
1400000US24005404403,4289,628,4917
1400000US24005404404,4424,240,4664
1400000US24005404501,6347,658,7005
1400000US24005404502,3202,757,3959
1400000US24005404600,2681,171,2852
1400000US24005404800,1861,44,1905
1400000US24005404900,4125,115,4240
1400000US24005405000,4610,94,4704
1400000US24005406000,5631,381,6012
1400000US24005407001,2931,77,3008
1400000US24005407002,5717,129,5846
1400000US24005408100,5177,320,5497
1400000US24005408200,1844,45,1889
1400000US24005408302,2980,6,2986
1400000US24005408303,3239,122,3361
1400000US24005408304,5089,101,5190
1400000US24005408400,678,19,697
1400000US24005408502,4404,195,4599
1400000US24005408503,3149,397,3546
1400000US24005408505,3780,106,3886
1400000US24005408506,3839,692,4531
1400000US24005408507,5682,1070,6752
1400000US24005408601,3938,77,4015
1400000US24005408602,2041,69,2110
1400000US24005408702,2430,67,2497
1400000US24005408703,6234,161,6395
1400000US24005408704,5473,219,5692
1400000US24005408800,2555,77,2632
1400000US24005408900,2585,44,2629
1400000US24005410100,5484,57,5541
1400000US24005410200,4791,52,4843
1400000US24005411101,2125,88,2213
1400000US24005411102,2987,79,3066
1400000US24005411201,3129,25,3154
1400000US24005411202,3721,51,3772
1400000US24005411302,3538,146,3684
1400000US24005411303,5969,323,6292
1400000US24005411306,5099,285,5384
1400000US24005411307,3631,224,3855
1400000US24005411308,3227,88,3315
1400000US24005411309,8542,50,8592
1400000US24005411404,3497,157,3654
1400000US24005411406,4211,120,4331
1400000US24005411407,10544,344,10888
1400000US24005411408,3254,320,3574
1400000US24005411409,5086,156,5242
1400000US24005411410,4506,277,4783
1400000US24005420100,3390,299,3689
1400000US24005420200,2514,90,2604
1400000US24005420301,2238,277,2515
1400000US24005420302,2259,315,2574
1400000US24005420303,1267,85,1352
1400000US24005420401,5747,483,6230
1400000US24005420402,1825,147,1972
1400000US24005420500,2953,397,3350
1400000US24005420600,3494,706,4200
1400000US24005420701,2676,533,3209
1400000US24005420702,1932,82,2014
1400000US24005420800,2955,265,3220
1400000US24005420900,3393,177,3570
1400000US24005421000,1562,102,1664
1400000US24005421101,2801,232,3033
1400000US24005421102,2290,102,2392
1400000US24005421200,1524,111,1635
1400000US24005421300,2650,299,2949
1400000US24005430101,3685,1041,4726
1400000US24005430104,2679,160,2839
1400000US24005430200,2456,190,2646
1400000US24005430300,5227,441,5668
1400000US24005430400,4217,147,4364
1400000US24005430600,2218,102,2320
1400000US24005430700,4830,453,5283
1400000US24005430800,3263,221,3484
1400000US24005430900,5241,397,5638
1400000US24005440100,4440,236,4676
1400000US24005440200,2330,78,2408
1400000US24005440300,1914,106,2020
1400000US24005440400,4736,225,4961
1400000US24005440500,2987,240,3227
1400000US24005440600,2231,69,2300
1400000US24005440701,5431,1418,6849
1400000US24005440702,4247,579,4826
1400000US24005440800,3036,137,3173
1400000US24005440900,3405,340,3745
1400000US24005441000,3672,75,3747
1400000US24005441101,2021,92,2113
1400000US24005441102,4532,453,4985
1400000US24005450100,3617,203,3820
1400000US24005450200,2939,228,3167
1400000US24005450300,2947,209,3156
1400000US24005450400,2095,134,2229
1400000US24005450501,3957,352,4309
1400000US24005450503,5382,1031,6413
1400000US24005450504,4609,770,5379
1400000US24005450800,3384,373,3757
1400000US24005450900,3777,374,4151
1400000US24005451000,1634,56,1690
1400000US24005451100,2163,98,2261
1400000US24005451200,3491,79,3570
1400000US24005451300,3345,537,3882
1400000US24005451401,3641,362,4003
1400000US24005451402,4082,1186,5268
1400000US24005451500,3540,210,3750
1400000US24005451600,1924,109,2033
1400000US24005451701,3600,157,3757
1400000US24005451702,1734,99,1833
1400000US24005451801,5212,530,5742
1400000US24005451802,3601,290,3891
1400000US24005451803,3882,217,4099
1400000US24005451900,2447,152,2599
1400000US24005452000,2538,100,2638
1400000US24005452100,3186,194,3380
1400000US24005452300,2401,705,3106
1400000US24005452400,3204,201,3405
1400000US24005452500,3408,276,3684
1400000US24005490100,3799,88,3887
1400000US24005490200,2822,86,2908
1400000US24005490301,5379,441,5820
1400000US24005490302,4592,256,4848
1400000US24005490400,1726,22,1748
1400000US24005490500,3632,40,3672
1400000US24005490601,2135,47,2182
1400000US24005490602,2708,123,2831
1400000US24005490603,2086,37,2123
1400000US24005490605,4481,261,4742
1400000US24005490701,1355,8,1363
1400000US24005490703,3226,131,3357
1400000US24005490800,3430,85,3515
1400000US24005490900,4183,36,4219
1400000US24005491000,2152,37,2189
1400000US24005491100,3886,218,4104
1400000US24005491201,1482,78,1560
1400000US24005491202,1724,155,1879
1400000US24005491300,3233,405,3638
1400000US24005491401,5172,528,5700
1400000US24005491402,2665,151,2816
1400000US24005491500,3531,369,3900
1400000US24005491600,2933,209,3142
1400000US24005491701,3713,342,4055
1400000US24005491900,1708,159,1867
1400000US24005492001,1215,228,1443
1400000US24005492002,3717,246,3963
1400000US24005492101,3448,253,3701
1400000US24005492102,1888,190,2078
1400000US24005492200,4849,176,5025
1400000US24005492300,3827,386,4213
1400000US24005492401,3515,199,3714
1400000US24005492402,6117,540,6657
1400000US24005492500,2615,238,2853
1400000US24005492600,3517,98,3615
1400000US24005980000,0,0,0
1400000US24005980100,0,0,0
1400000US24005980200,0,0,0
1400000US24009860101,2826,301,3127
1400000US24009860102,2612,80,2692
1400000US24009860200,5812,145,5957
1400000US24009860300,4780,28,4808
1400000US24009860401,9634,405,10039
1400000US24009860402,3440,264,3704
1400000US24009860501,6037,325,6362
1400000US24009860502,2959,170,3129
1400000US24009860600,6808,448,7256
1400000US24009860701,2703,210,2913
1400000US24009860702,2948,221,3169
1400000US24009860703,3595,195,3790
1400000US24009860801,6797,300,7097
1400000US24009860802,4689,236,4925
1400000US24009860900,6478,494,6972
1400000US24009861001,1061,21,1082
1400000US24009861003,5430,346,5776
1400000US24009861004,6315,523,6838
1400000US24009990100,0,0,0
1400000US24011955000,2790,662,3452
1400000US24011955100,5080,342,5422
1400000US24011955201,3406,282,3688
1400000US24011955202,1944,93,2037
1400000US24011955301,3876,242,4118
1400000US24011955302,2709,266,2975
1400000US24011955400,1801,205,2006
1400000US24011955500,4107,272,4379
1400000US24011955600,3995,333,4328
1400000US24013501001,4088,224,4312
1400000US24013501002,4925,423,5348
1400000US24013502000,3664,148,3812
