GEOID,insured,uninsured,total
1400000US24021767600,3258,318,3576
1400000US24021770700,3074,318,3392
1400000US24021772200,1796,241,2037
1400000US24021773500,3984,576,4560
1400000US24021775302,3808,462,4270
1400000US24021775400,3239,390,3629
1400000US24021775600,3466,175,3641
1400000US24023000100,3271,465,3736
1400000US24023000200,3253,793,4046
1400000US24023000300,2386,362,2748
1400000US24023000400,2669,401,3070
1400000US24023000500,3399,502,3901
1400000US24023000600,5424,737,6161
1400000US24023000700,4774,1091,5865
1400000US24025301102,3344,299,3643
1400000US24025301105,4103,147,4250
1400000US24025301106,3931,239,4170
1400000US24025301107,2868,143,3011
1400000US24025301108,3250,130,3380
1400000US24025301201,1993,136,2129
1400000US24025301202,6501,575,7076
1400000US24025301204,4062,121,4183
1400000US24025301205,3688,119,3807
1400000US24025301301,4663,380,5043
1400000US24025301302,6371,780,7151
1400000US24025301401,7203,357,7560
1400000US24025301402,2039,165,2204
1400000US24025301601,5674,576,6250
1400000US24025301602,6733,1097,7830
1400000US24025301702,7396,561,7957
1400000US24025301703,4470,320,4790
1400000US24025301704,3449,175,3624
1400000US24025302100,2155,129,2284
1400000US24025302200,2174,266,2440
1400000US24025302400,2220,298,2518
1400000US24025302801,3654,217,3871
1400000US24025302802,3956,742,4698
1400000US24025302901,2179,533,2712
1400000US24025302902,4174,468,4642
1400000US24025303101,5874,398,6272
1400000US24025303102,2991,57,3048
1400000US24025303201,5452,259,5711
1400000US24025303203,3167,103,3270
1400000US24025303204,4623,235,4858
1400000US24025303205,1624,62,1686
1400000US24025303206,3070,94,3164
1400000US24025303300,5573,205,5778
1400000US24025303400,4218,144,4362
1400000US24025303501,5840,157,5997
1400000US24025303502,3342,209,3551
1400000US24025303602,3186,145,3331
1400000US24025303603,6547,367,6914
1400000US24025303605,5154,403,5557
1400000US24025303606,3373,94,3467
1400000US24025303700,3557,156,3713
1400000US24025303801,2270,200,2470
1400000US24025303802,1282,120,1402
1400000US24025303803,4735,60,4795
1400000US24025303900,2140,168,2308
1400000US24025304101,4471,71,4542
1400000US24025304102,3494,184,3678
1400000US24025304201,5956,363,6319
1400000US24025304202,6693,458,7151
1400000US24025305100,6667,368,7035
1400000US24025305200,2378,393,2771
1400000US24025305300,1994,161,2155
1400000US24025306100,3434,493,3927
1400000US24025306200,1864,323,2187
1400000US24025306300,2091,104,2195
1400000US24025306400,6022,340,6362
1400000US24025306500,1598,7,1605
1400000US24027601103,5110,505,5615
1400000US24027601104,6070,193,6263
1400000US24027601105,3559,209,3768
1400000US24027601107,3791,846,4637
1400000US24027601108,3572,73,3645
1400000US24027601201,7153,408,7561
1400000US24027601203,2252,243,2495
1400000US24027601204,4553,262,4815
1400000US24027602100,7800,344,8144
1400000US24027602201,3149,110,3259
1400000US24027602202,5038,236,5274
1400000US24027602302,5967,356,6323
1400000US24027602303,3777,115,3892
1400000US24027602304,4906,105,5011
1400000US24027602305,3719,78,3797
1400000US24027602306,5005,163,5168
1400000US24027602600,5695,1117,6812
1400000US24027602700,4936,125,5061
1400000US24027602800,5312,624,5936
1400000US24027602900,3415,844,4259
1400000US24027603001,5021,315,5336
1400000US24027603003,4117,50,4167
1400000US24027603004,5957,565,6522
1400000US24027604001,5824,243,6067
1400000US24027604002,7475,225,7700
1400000US24027605102,8038,144,8182
1400000US24027605103,4812,171,4983
1400000US24027605104,4525,54,4579
1400000US24027605401,4710,282,4992
1400000US24027605402,6410,458,6868
1400000US24027605502,5327,95,5422
1400000US24027605503,5360,608,5968
1400000US24027605504,2690,122,2812
1400000US24027605505,5851,196,6047
1400000US24027605601,5525,663,6188
1400000US24027605602,6384,228,6612
1400000US24027606601,2923,149,3072
1400000US24027606603,7039,1164,8203
1400000US24027606604,3513,490,4003
1400000US24027606606,4053,322,4375
1400000US24027606607,4370,314,4684
1400000US24027606701,2644,84,2728
1400000US24027606704,6809,1139,7948
1400000US24027606705,1960,205,2165
1400000US24027606706,4670,207,4877
1400000US24027606707,3469,384,3853
1400000US24027606803,5387,268,5655
1400000US24027606804,3145,122,3267
1400000US24027606805,3933,209,4142
1400000US24027606806,6035,264,6299
1400000US24027606901,4420,745,5165
1400000US24027606904,3773,420,4193
1400000US24027606905,6100,350,6450
1400000US24027606906,4900,750,5650
1400000US24027606907,3844,939,4783
1400000US24029950100,3388,697,4085
1400000US24029950200,4521,417,4938
1400000US24029950300,4916,388,5304
1400000US24029950400,2765,119,2884
1400000US24029950500,2257,332,2589
1400000US24029990000,0,0,0
1400000US24031700101,4080,333,4413
1400000US24031700103,5657,143,5800
1400000US24031700104,4395,575,4970
1400000US24031700105,5908,695,6603
1400000US24031700204,2008,138,2146
1400000US24031700205,6385,177,6562
1400000US24031700206,5537,270,5807
1400000US24031700207,5419,455,5874
1400000US24031700208,1741,104,1845
1400000US24031700304,6732,997,7729
1400000US24031700306,5876,926,6802
1400000US24031700308,5365,296,5661
1400000US24031700309,4557,880,5437
1400000US24031700310,4915,682,5597
1400000US24031700311,6368,447,6815
1400000US24031700312,4635,475,5110
1400000US24031700400,2043,130,2173
1400000US24031700500,5657,466,6123
1400000US24031700604,6443,254,6697
1400000US24031700606,4314,195,4509
1400000US24031700607,7653,251,7904
1400000US24031700608,5664,189,5853
1400000US24031700610,1843,144,1987
1400000US24031700611,5930,697,6627
1400000US24031700613,5789,351,6140
1400000US24031700614,3998,537,4535
1400000US24031700615,2906,68,2974
1400000US24031700616,4246,239,4485
1400000US24031700704,2232,740,2972
1400000US24031700706,2969,651,3620
1400000US24031700710,5306,1229,6535
1400000US24031700711,5070,524,5594
1400000US24031700713,3787,1777,5564
1400000US24031700715,4990,1063,6053
1400000US24031700716,6756,679,7435
1400000US24031700717,4452,1141,5593
1400000US24031700718,3972,267,4239
1400000US24031700719,5748,2559,8307
1400000US24031700720,2926,481,3407
1400000US24031700721,1978,471,2449
1400000US24031700722,3491,757,4248
1400000US24031700723,2822,230,3052
1400000US24031700724,2362,956,3318
1400000US24031700810,4448,809,5257
1400000US24031700811,4127,693,4820
1400000US24031700812,3750,423,4173
1400000US24031700813,4852,1136,5988
1400000US24031700815,6643,1803,8446
1400000US24031700816,6656,1107,7763
1400000US24031700817,4411,369,4780
1400000US24031700818,5149,1056,6205
1400000US24031700819,5839,1274,7113
1400000US24031700820,2370,621,2991
1400000US24031700822,1243,426,1669
1400000US24031700823,3094,306,3400
1400000US24031700824,2861,162,3023
1400000US24031700826,5664,288,5952
1400000US24031700828,2374,82,2456
1400000US24031700829,2816,125,2941
1400000US24031700830,1994,546,2540
1400000US24031700832,2448,262,2710
1400000US24031700833,3821,770,4591
1400000US24031700834,4365,693,5058
1400000US24031700835,4240,342,4582
1400000US24031700901,3341,259,3600
1400000US24031700902,2593,955,3548
1400000US24003740201,5997,760,6757
1400000US24003740203,4888,404,5292
1400000US24003740303,3711,430,4141
1400000US24003740304,3497,135,3632
1400000US24003740305,9837,541,10378
1400000US24003740400,0,0,0
1400000US24003740500,7978,731,8709
1400000US24003740601,4197,26,4223
1400000US24003740602,3084,77,3161
1400000US24003740603,581,32,613
1400000US24003740701,4916,305,5221
1400000US24003740702,8793,476,9269
1400000US24003740800,3860,163,4023
1400000US24003740900,6774,465,7239
1400000US24003741000,2172,84,2256
1400000US24003750101,4232,445,4677
1400000US24003750102,2138,252,2390
1400000US24003750201,2221,549,2770
1400000US24003750202,2906,336,3242
1400000US24003750203,1238,265,1503
1400000US24003750300,2644,160,2804
1400000US24003750400,3928,227,4155
1400000US24003750801,5391,341,5732
1400000US24003750803,5962,1341,7303
1400000US24003750804,3456,894,4350
1400000US24003750900,2556,314,2870
1400000US24003751000,3380,391,3771
1400000US24003751102,3437,253,3690
1400000US24003751103,4879,666,5545
1400000US24003751200,3788,359,4147
1400000US24003751400,3731,304,4035
1400000US24003751500,5533,617,6150
1400000US24003751600,4698,158,4856
1400000US24003751700,2511,155,2666
1400000US24003980000,0,0,0
1400000US24003990000,0,0,0
1400000US24005400100,4329,88,4417
1400000US24005400200,2287,249,2536
1400000US24005400400,4908,404,5312
1400000US24005400500,2373,39,2412
1400000US24005400600,2731,146,2877
1400000US24005400701,2468,360,2828
1400000US24005400702,1564,50,1614
1400000US24005400800,2567,224,2791
1400000US24005400900,1827,316,2143
1400000US24005401000,2263,157,2420
1400000US24005401101,5983,755,6738
1400000US24005401102,985,167,1152
1400000US24005401200,3032,559,3591
1400000US24005401301,3378,204,3582
1400000US24005401302,2201,233,2434
1400000US24005401400,1753,24,1777
1400000US24005401503,6401,142,6543
1400000US24005401504,5402,728,6130
1400000US24005401505,3637,304,3941
1400000US24005401506,4885,398,5283
1400000US24005401507,4625,771,5396
1400000US24005402201,2976,562,3538
1400000US24005402202,1488,69,1557
1400000US24005402302,4435,512,4947
1400000US24005402303,5813,907,6720
1400000US24005402304,3058,634,3692
1400000US24005402305,1956,258,2214
1400000US24005402306,3327,512,3839
1400000US24005402307,4853,956,5809
1400000US24005402403,2277,266,2543
1400000US24005402404,4533,761,5294
1400000US24005402405,2692,290,2982
1400000US24005402406,5692,895,6587
1400000US24005402407,1295,336,1631
1400000US24005402503,3910,453,4363
1400000US24005402504,4412,153,4565
